anno_inizio,comune,pro_com_t,n_plessi,alunni,alunni_stranieri,quota_stranieri
2024,Soragna,034036,2,357,56,0.1568627450980392
2024,Roccabianca,034030,2,195,48,0.24615384615384617
2024,Borgo Val di Taro,034006,5,776,184,0.23711340206185566
2024,Palanzano,034026,2,52,13,0.25
2024,Lesignano de' Bagni,034019,2,346,35,0.10115606936416185
2024,Corniglio,034012,3,65,3,0.046153846153846156
2024,Compiano,034011,1,28,10,0.35714285714285715
2024,Albareto,034001,2,105,3,0.02857142857142857
2024,Tornolo,034040,1,10,0,0
2024,Fontanellato,034015,2,452,130,0.28761061946902655
