anno_inizio,ordine_scuola,comune,pro_com_t,alunni,alunni_paritaria,quota_paritaria
2021,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,610,15,0.02459016393442623
2021,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,748,97,0.12967914438502673
2022,SCUOLA SECONDARIA I GRADO,PARMA,034027,5396,682,0.12638991845811712
2022,SCUOLA PRIMARIA,PARMA,034027,8258,896,0.10850084766287237
2022,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,808,99,0.12252475247524752
2022,SCUOLA SECONDARIA II GRADO,PARMA,034027,14681,177,0.012056399427831892
2022,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,305,119,0.3901639344262295
2022,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,787,118,0.14993646759847523
2022,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,586,171,0.29180887372013653
2022,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,39,39,1
2022,SCUOLA PRIMARIA,FIDENZA,034014,1358,354,0.2606774668630339
2022,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,550,14,0.025454545454545455
2023,SCUOLA SECONDARIA I GRADO,PARMA,034027,5367,655,0.12204210918576486
2023,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,38,38,1
2023,SCUOLA PRIMARIA,PARMA,034027,8161,911,0.1116284769023404
2023,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,546,24,0.04395604395604396
2023,SCUOLA PRIMARIA,FIDENZA,034014,1378,359,0.260522496371553
2023,SCUOLA SECONDARIA II GRADO,PARMA,034027,15754,209,0.013266472007109306
2023,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,579,162,0.27979274611398963
2023,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,814,117,0.14373464373464373
2023,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,290,115,0.39655172413793105
2023,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,778,121,0.15552699228791775
