"indicatore","territorio","anno","valore"
"0-14 anni","Piacenza",2002,11.2
"0-14 anni","Piacenza",2003,11.4
"0-14 anni","Piacenza",2004,11.6
"0-14 anni","Piacenza",2005,11.7
"0-14 anni","Piacenza",2006,11.9
"0-14 anni","Piacenza",2007,12.1
"0-14 anni","Piacenza",2008,12.2
"0-14 anni","Piacenza",2009,12.4
"0-14 anni","Piacenza",2010,12.7
"0-14 anni","Piacenza",2011,12.7
"0-14 anni","Piacenza",2012,12.8
"0-14 anni","Piacenza",2013,12.8
"0-14 anni","Piacenza",2014,12.8
"0-14 anni","Piacenza",2015,12.9
"0-14 anni","Piacenza",2016,12.8
"0-14 anni","Piacenza",2017,12.7
"0-14 anni","Piacenza",2018,12.6
"0-14 anni","Piacenza",2019,12.6
"0-14 anni","Piacenza",2020,12.53
"0-14 anni","Piacenza",2021,12.5061
"0-14 anni","Piacenza",2022,12.399
"0-14 anni","Piacenza",2023,12.2511
"0-14 anni","Piacenza",2024,12.2
"0-14 anni","Piacenza",2025,11.9
"0-14 anni","Piacenza",2026,11.8
"0-14 anni","Parma",2002,11.4
"0-14 anni","Parma",2003,11.6
"0-14 anni","Parma",2004,11.7
"0-14 anni","Parma",2005,11.9
"0-14 anni","Parma",2006,12.1
"0-14 anni","Parma",2007,12.3
"0-14 anni","Parma",2008,12.5
"0-14 anni","Parma",2009,12.7
"0-14 anni","Parma",2010,13
"0-14 anni","Parma",2011,13.1
"0-14 anni","Parma",2012,13.2
"0-14 anni","Parma",2013,13.3
"0-14 anni","Parma",2014,13.3
"0-14 anni","Parma",2015,13.4
"0-14 anni","Parma",2016,13.4
"0-14 anni","Parma",2017,13.3
"0-14 anni","Parma",2018,13.3
"0-14 anni","Parma",2019,13.2
"0-14 anni","Parma",2020,13.14
"0-14 anni","Parma",2021,13.0966
"0-14 anni","Parma",2022,13.0575
"0-14 anni","Parma",2023,12.8482
"0-14 anni","Parma",2024,12.6
"0-14 anni","Parma",2025,12.4
"0-14 anni","Parma",2026,12.1
"0-14 anni","Reggio nell'Emilia",2002,13.2
"0-14 anni","Reggio nell'Emilia",2003,13.6
"0-14 anni","Reggio nell'Emilia",2004,13.8
"0-14 anni","Reggio nell'Emilia",2005,14
"0-14 anni","Reggio nell'Emilia",2006,14.3
"0-14 anni","Reggio nell'Emilia",2007,14.5
"0-14 anni","Reggio nell'Emilia",2008,14.8
"0-14 anni","Reggio nell'Emilia",2009,15
"0-14 anni","Reggio nell'Emilia",2010,15.2
"0-14 anni","Reggio nell'Emilia",2011,15.3
"0-14 anni","Reggio nell'Emilia",2012,15.3
"0-14 anni","Reggio nell'Emilia",2013,15.3
"0-14 anni","Reggio nell'Emilia",2014,15.3
"0-14 anni","Reggio nell'Emilia",2015,15.2
"0-14 anni","Reggio nell'Emilia",2016,15.1
"0-14 anni","Reggio nell'Emilia",2017,14.9
"0-14 anni","Reggio nell'Emilia",2018,14.7
"0-14 anni","Reggio nell'Emilia",2019,14.4
"0-14 anni","Reggio nell'Emilia",2020,14.08
"0-14 anni","Reggio nell'Emilia",2021,13.8612
"0-14 anni","Reggio nell'Emilia",2022,13.5831
"0-14 anni","Reggio nell'Emilia",2023,13.2388
"0-14 anni","Reggio nell'Emilia",2024,12.9
"0-14 anni","Reggio nell'Emilia",2025,12.6
"0-14 anni","Reggio nell'Emilia",2026,12.3
"0-14 anni","Modena",2002,12.8
"0-14 anni","Modena",2003,13
"0-14 anni","Modena",2004,13.1
"0-14 anni","Modena",2005,13.3
"0-14 anni","Modena",2006,13.6
"0-14 anni","Modena",2007,13.7
"0-14 anni","Modena",2008,13.9
"0-14 anni","Modena",2009,14.1
"0-14 anni","Modena",2010,14.2
"0-14 anni","Modena",2011,14.3
"0-14 anni","Modena",2012,14.4
"0-14 anni","Modena",2013,14.4
"0-14 anni","Modena",2014,14.4
"0-14 anni","Modena",2015,14.4
"0-14 anni","Modena",2016,14.2
"0-14 anni","Modena",2017,14.1
"0-14 anni","Modena",2018,14
"0-14 anni","Modena",2019,13.8
"0-14 anni","Modena",2020,13.59
"0-14 anni","Modena",2021,13.3964
"0-14 anni","Modena",2022,13.2269
"0-14 anni","Modena",2023,12.967
"0-14 anni","Modena",2024,12.7
"0-14 anni","Modena",2025,12.4
"0-14 anni","Modena",2026,12.1
"0-14 anni","Bologna",2002,11.1
"0-14 anni","Bologna",2003,11.4
"0-14 anni","Bologna",2004,11.6
"0-14 anni","Bologna",2005,11.8
"0-14 anni","Bologna",2006,12
"0-14 anni","Bologna",2007,12.2
"0-14 anni","Bologna",2008,12.4
"0-14 anni","Bologna",2009,12.6
"0-14 anni","Bologna",2010,12.8
"0-14 anni","Bologna",2011,12.9
"0-14 anni","Bologna",2012,13
"0-14 anni","Bologna",2013,13.1
"0-14 anni","Bologna",2014,13.1
"0-14 anni","Bologna",2015,13.1
"0-14 anni","Bologna",2016,13.1
"0-14 anni","Bologna",2017,13
"0-14 anni","Bologna",2018,12.9
"0-14 anni","Bologna",2019,12.8
"0-14 anni","Bologna",2020,12.62
"0-14 anni","Bologna",2021,12.4391
"0-14 anni","Bologna",2022,12.2983
"0-14 anni","Bologna",2023,12.0646
"0-14 anni","Bologna",2024,11.8
"0-14 anni","Bologna",2025,11.6
"0-14 anni","Bologna",2026,11.4
"0-14 anni","Ferrara",2002,9.4
"0-14 anni","Ferrara",2003,9.5
"0-14 anni","Ferrara",2004,9.7
"0-14 anni","Ferrara",2005,9.8
"0-14 anni","Ferrara",2006,10
"0-14 anni","Ferrara",2007,10.2
"0-14 anni","Ferrara",2008,10.4
"0-14 anni","Ferrara",2009,10.6
"0-14 anni","Ferrara",2010,10.8
"0-14 anni","Ferrara",2011,11
"0-14 anni","Ferrara",2012,11.1
"0-14 anni","Ferrara",2013,11.2
"0-14 anni","Ferrara",2014,11.2
"0-14 anni","Ferrara",2015,11.2
"0-14 anni","Ferrara",2016,11.2
"0-14 anni","Ferrara",2017,11.1
"0-14 anni","Ferrara",2018,11
"0-14 anni","Ferrara",2019,10.9
"0-14 anni","Ferrara",2020,10.79
"0-14 anni","Ferrara",2021,10.6838
"0-14 anni","Ferrara",2022,10.6107
"0-14 anni","Ferrara",2023,10.4967
"0-14 anni","Ferrara",2024,10.3
"0-14 anni","Ferrara",2025,10.1
"0-14 anni","Ferrara",2026,9.9
"0-14 anni","Ravenna",2002,10.8
"0-14 anni","Ravenna",2003,11.1
"0-14 anni","Ravenna",2004,11.3
"0-14 anni","Ravenna",2005,11.6
"0-14 anni","Ravenna",2006,11.8
"0-14 anni","Ravenna",2007,12.1
"0-14 anni","Ravenna",2008,12.3
