"indicatore","territorio","anno","valore"
"Indice di dipendenza anziani","Bologna",2003,36.1
"Indice di dipendenza anziani","Bologna",2004,36.5
"Indice di dipendenza anziani","Bologna",2005,37
"Indice di dipendenza anziani","Bologna",2006,37.6
"Indice di dipendenza anziani","Bologna",2007,37.9
"Indice di dipendenza anziani","Bologna",2008,37.9
"Indice di dipendenza anziani","Bologna",2009,37.6
"Indice di dipendenza anziani","Bologna",2010,37.6
"Indice di dipendenza anziani","Bologna",2011,37.3
"Indice di dipendenza anziani","Bologna",2012,38
"Indice di dipendenza anziani","Bologna",2013,38.4
"Indice di dipendenza anziani","Bologna",2014,38.9
"Indice di dipendenza anziani","Bologna",2015,39.2
"Indice di dipendenza anziani","Bologna",2016,39.2
"Indice di dipendenza anziani","Bologna",2017,39.1
"Indice di dipendenza anziani","Bologna",2018,39.1
"Indice di dipendenza anziani","Bologna",2019,39.1
"Indice di dipendenza anziani","Bologna",2020,38.99
"Indice di dipendenza anziani","Bologna",2021,38.6513
"Indice di dipendenza anziani","Bologna",2022,38.9325
"Indice di dipendenza anziani","Bologna",2023,38.9123
"Indice di dipendenza anziani","Bologna",2024,39
"Indice di dipendenza anziani","Bologna",2025,39.3
"Indice di dipendenza anziani","Bologna",2026,39.7
"Indice di dipendenza anziani","Ferrara",2002,37.4
"Indice di dipendenza anziani","Ferrara",2003,38.2
"Indice di dipendenza anziani","Ferrara",2004,38.7
"Indice di dipendenza anziani","Ferrara",2005,39.2
"Indice di dipendenza anziani","Ferrara",2006,39.9
"Indice di dipendenza anziani","Ferrara",2007,40.2
"Indice di dipendenza anziani","Ferrara",2008,40.2
"Indice di dipendenza anziani","Ferrara",2009,40.3
"Indice di dipendenza anziani","Ferrara",2010,40.5
"Indice di dipendenza anziani","Ferrara",2011,40.2
"Indice di dipendenza anziani","Ferrara",2012,41.4
"Indice di dipendenza anziani","Ferrara",2013,42.3
"Indice di dipendenza anziani","Ferrara",2014,43.4
"Indice di dipendenza anziani","Ferrara",2015,44.1
"Indice di dipendenza anziani","Ferrara",2016,44.7
"Indice di dipendenza anziani","Ferrara",2017,45.3
"Indice di dipendenza anziani","Ferrara",2018,45.5
"Indice di dipendenza anziani","Ferrara",2019,45.9
"Indice di dipendenza anziani","Ferrara",2020,46.36
"Indice di dipendenza anziani","Ferrara",2021,46.4932
"Indice di dipendenza anziani","Ferrara",2022,46.9346
"Indice di dipendenza anziani","Ferrara",2023,47.2147
"Indice di dipendenza anziani","Ferrara",2024,47.4
"Indice di dipendenza anziani","Ferrara",2025,48
"Indice di dipendenza anziani","Ferrara",2026,48.4
"Indice di dipendenza anziani","Ravenna",2002,37
"Indice di dipendenza anziani","Ravenna",2003,37.5
"Indice di dipendenza anziani","Ravenna",2004,37.8
"Indice di dipendenza anziani","Ravenna",2005,38.4
"Indice di dipendenza anziani","Ravenna",2006,38.8
"Indice di dipendenza anziani","Ravenna",2007,38.8
"Indice di dipendenza anziani","Ravenna",2008,38.4
"Indice di dipendenza anziani","Ravenna",2009,38.1
"Indice di dipendenza anziani","Ravenna",2010,38
"Indice di dipendenza anziani","Ravenna",2011,37.9
"Indice di dipendenza anziani","Ravenna",2012,38.4
"Indice di dipendenza anziani","Ravenna",2013,38.8
"Indice di dipendenza anziani","Ravenna",2014,39.5
"Indice di dipendenza anziani","Ravenna",2015,40.2
"Indice di dipendenza anziani","Ravenna",2016,40.5
"Indice di dipendenza anziani","Ravenna",2017,40.7
"Indice di dipendenza anziani","Ravenna",2018,40.8
"Indice di dipendenza anziani","Ravenna",2019,41.1
"Indice di dipendenza anziani","Ravenna",2020,41.3
"Indice di dipendenza anziani","Ravenna",2021,41.2612
"Indice di dipendenza anziani","Ravenna",2022,41.4364
"Indice di dipendenza anziani","Ravenna",2023,41.5487
"Indice di dipendenza anziani","Ravenna",2024,41.7
"Indice di dipendenza anziani","Ravenna",2025,42.2
"Indice di dipendenza anziani","Ravenna",2026,42.6
"Indice di dipendenza anziani","Forli'",2002,32.3
"Indice di dipendenza anziani","Forli'",2003,32.8
"Indice di dipendenza anziani","Forli'",2004,33.2
"Indice di dipendenza anziani","Forli'",2005,33.8
"Indice di dipendenza anziani","Forli'",2006,34.3
"Indice di dipendenza anziani","Forli'",2007,34.7
"Indice di dipendenza anziani","Forli'",2008,34.7
"Indice di dipendenza anziani","Forli'",2009,34.7
"Indice di dipendenza anziani","Forli'",2010,34.8
"Indice di dipendenza anziani","Forli'",2011,34.8
"Indice di dipendenza anziani","Forli'",2012,35.5
"Indice di dipendenza anziani","Forli'",2013,36
"Indice di dipendenza anziani","Forli'",2014,36.7
"Indice di dipendenza anziani","Forli'",2015,37.4
"Indice di dipendenza anziani","Forli'",2016,38
"Indice di dipendenza anziani","Forli'",2017,38.6
"Indice di dipendenza anziani","Forli'",2018,38.8
"Indice di dipendenza anziani","Forli'",2019,39
"Indice di dipendenza anziani","Forli'",2020,39.25
"Indice di dipendenza anziani","Forli'",2021,39.4311
"Indice di dipendenza anziani","Forli'",2022,39.6847
"Indice di dipendenza anziani","Forli'",2023,39.8928
"Indice di dipendenza anziani","Forli'",2024,40.2
"Indice di dipendenza anziani","Forli'",2025,40.7
"Indice di dipendenza anziani","Forli'",2026,41.2
"Indice di dipendenza anziani","Rimini",2002,29.2
"Indice di dipendenza anziani","Rimini",2003,29.8
"Indice di dipendenza anziani","Rimini",2004,30.3
"Indice di dipendenza anziani","Rimini",2005,30.8
"Indice di dipendenza anziani","Rimini",2006,31.4
"Indice di dipendenza anziani","Rimini",2007,31.6
"Indice di dipendenza anziani","Rimini",2008,31.6
"Indice di dipendenza anziani","Rimini",2009,31.7
"Indice di dipendenza anziani","Rimini",2010,31.9
"Indice di dipendenza anziani","Rimini",2011,32
"Indice di dipendenza anziani","Rimini",2012,32.7
"Indice di dipendenza anziani","Rimini",2013,33.2
"Indice di dipendenza anziani","Rimini",2014,33.9
"Indice di dipendenza anziani","Rimini",2015,34.5
"Indice di dipendenza anziani","Rimini",2016,35
"Indice di dipendenza anziani","Rimini",2017,35.5
"Indice di dipendenza anziani","Rimini",2018,35.7
"Indice di dipendenza anziani","Rimini",2019,36
"Indice di dipendenza anziani","Rimini",2020,36.49
"Indice di dipendenza anziani","Rimini",2021,36.5608
"Indice di dipendenza anziani","Rimini",2022,37.1544
"Indice di dipendenza anziani","Rimini",2023,37.6463
"Indice di dipendenza anziani","Rimini",2024,38.3
"Indice di dipendenza anziani","Rimini",2025,39
"Indice di dipendenza anziani","Rimini",2026,39.8
"Indice di dipendenza anziani","Emilia-Romagna",2002,34
"Indice di dipendenza anziani","Emilia-Romagna",2003,34.4
"Indice di dipendenza anziani","Emilia-Romagna",2004,34.6
"Indice di dipendenza anziani","Emilia-Romagna",2005,35
"Indice di dipendenza anziani","Emilia-Romagna",2006,35.5
"Indice di dipendenza anziani","Emilia-Romagna",2007,35.7
"Indice di dipendenza anziani","Emilia-Romagna",2008,35.6
"Indice di dipendenza anziani","Emilia-Romagna",2009,35.4
"Indice di dipendenza anziani","Emilia-Romagna",2010,35.4
"Indice di dipendenza anziani","Emilia-Romagna",2011,35.2
"Indice di dipendenza anziani","Emilia-Romagna",2012,35.9
"Indice di dipendenza anziani","Emilia-Romagna",2013,36.4
"Indice di dipendenza anziani","Emilia-Romagna",2014,37
"Indice di dipendenza anziani","Emilia-Romagna",2015,37.5
"Indice di dipendenza anziani","Emilia-Romagna",2016,37.8
"Indice di dipendenza anziani","Emilia-Romagna",2017,38
"Indice di dipendenza anziani","Emilia-Romagna",2018,38.1
"Indice di dipendenza anziani","Emilia-Romagna",2019,38.2
"Indice di dipendenza anziani","Emilia-Romagna",2020,38.43
"Indice di dipendenza anziani","Emilia-Romagna",2021,38.3292
"Indice di dipendenza anziani","Emilia-Romagna",2022,38.6474
"Indice di dipendenza anziani","Emilia-Romagna",2023,38.7641
"Indice di dipendenza anziani","Emilia-Romagna",2024,39
"Indice di dipendenza anziani","Emilia-Romagna",2025,39.4
"Indice di dipendenza anziani","Emilia-Romagna",2026,39.8
"Indice di dipendenza anziani","ITALIA",2002,27.9
"Indice di dipendenza anziani","ITALIA",2003,28.4
"Indice di dipendenza anziani","ITALIA",2004,28.8
"Indice di dipendenza anziani","ITALIA",2005,29.4
"Indice di dipendenza anziani","ITALIA",2006,30
"Indice di dipendenza anziani","ITALIA",2007,30.5
"Indice di dipendenza anziani","ITALIA",2008,30.6
"Indice di dipendenza anziani","ITALIA",2009,30.8
"Indice di dipendenza anziani","ITALIA",2010,31.1
"Indice di dipendenza anziani","ITALIA",2011,31.2
"Indice di dipendenza anziani","ITALIA",2012,32
"Indice di dipendenza anziani","ITALIA",2013,32.6
"Indice di dipendenza anziani","ITALIA",2014,33.3
"Indice di dipendenza anziani","ITALIA",2015,34
"Indice di dipendenza anziani","ITALIA",2016,34.5
"Indice di dipendenza anziani","ITALIA",2017,35
"Indice di dipendenza anziani","ITALIA",2018,35.4
"Indice di dipendenza anziani","ITALIA",2019,35.8
"Indice di dipendenza anziani","ITALIA",2020,36.42
"Indice di dipendenza anziani","ITALIA",2021,37.0213
"Indice di dipendenza anziani","ITALIA",2022,37.4815
"Indice di dipendenza anziani","ITALIA",2023,37.8452
"Indice di dipendenza anziani","ITALIA",2024,38.4
"Indice di dipendenza anziani","ITALIA",2025,39
"Indice di dipendenza anziani","ITALIA",2026,39.8
