"territorio","anno","totale","indice"
"Italia",2043,56307931,95.4837316433793
"Italia",2044,56100752,95.1324094817083
"Italia",2045,55885869,94.7680233225592
"Italia",2046,55661736,94.3879515485772
"Italia",2047,55427010,93.9899167780628
"Italia",2048,55180948,93.572659074603
"Italia",2049,54922983,93.135216952402
"Italia",2050,54652345,92.676284690009
"Modena",2024,706445,100
"Modena",2025,709514,100.434428724104
"Modena",2026,712314,100.8307794662
"Modena",2027,714861,101.191317087671
"Modena",2028,717170,101.518164896064
"Modena",2029,719255,101.813304645089
"Modena",2030,721125,102.078010319275
"Modena",2031,722882,102.32672040994
"Modena",2032,724506,102.556603840356
"Modena",2033,725999,102.767943718195
"Modena",2034,727371,102.962155581822
"Modena",2035,728626,103.139805646583
"Modena",2036,729709,103.293108451472
"Modena",2037,730720,103.436219380136
"Modena",2038,731688,103.573243493832
"Modena",2039,732593,103.701349715831
"Modena",2040,733421,103.818556292422
"Modena",2041,734158,103.922881469895
"Modena",2042,734789,104.012201940703
"Modena",2043,735300,104.084535951136
"Modena",2044,735677,104.137901747482
"Modena",2045,735908,104.170600683705
"Modena",2046,735967,104.178952360056
"Modena",2047,735834,104.160125699807
"Modena",2048,735495,104.112138949246
"Modena",2049,734939,104.033435016173
"Modena",2050,734152,103.922032146876
"Parma",2024,454149,100
"Parma",2025,456861,100.597160843688
"Parma",2026,459377,101.15116404528
"Parma",2027,461705,101.663771141189
"Parma",2028,463854,102.136963859879
"Parma",2029,465835,102.573164313915
"Parma",2030,467655,102.973913847658
"Parma",2031,469381,103.35396532856
"Parma",2032,471007,103.71199760431
"Parma",2033,472535,104.048451059014
"Parma",2034,473970,104.364426652927
"Parma",2035,475317,104.661025346307
"Parma",2036,476541,104.930540417352
"Parma",2037,477710,105.187944925564
"Parma",2038,478843,105.437422519922
"Parma",2039,479927,105.676110703756
"Parma",2040,480953,105.902027748602
"Parma",2041,481909,106.112531349843
"Parma",2042,482788,106.306080163118
"Parma",2043,483578,106.480031883809
"Parma",2044,484269,106.632184591401
"Parma",2045,484854,106.760996941532
"Parma",2046,485315,106.862505477277
"Parma",2047,485639,106.933847701966
"Parma",2048,485816,106.972821695082
"Parma",2049,485839,106.977886112267
"Parma",2050,485698,106.946839033005
"Piacenza",2024,285389,100
"Piacenza",2025,286511,100.393147598541
"Piacenza",2026,287527,100.749152910589
"Piacenza",2027,288445,101.070819127577
"Piacenza",2028,289267,101.358847047363
"Piacenza",2029,290001,101.616039861382
"Piacenza",2030,290651,101.84379916535
"Piacenza",2031,291261,102.05754251215
"Piacenza",2032,291823,102.25446671035
"Piacenza",2033,292336,102.43422136102
"Piacenza",2034,292805,102.598558458805
"Piacenza",2035,293230,102.747478003707
"Piacenza",2036,293587,102.872570421425
"Piacenza",2037,293923,102.99030446163
"Piacenza",2038,294248,103.104184113613
"Piacenza",2039,294554,103.211406185943
"Piacenza",2040,294834,103.309517886113
"Piacenza",2041,295081,103.396066421621
"Piacenza",2042,295286,103.467898202103
"Piacenza",2043,295444,103.523261232914
"Piacenza",2044,295548,103.559702721548
"Piacenza",2045,295593,103.575470673362
"Piacenza",2046,295570,103.56741149799
"Piacenza",2047,295471,103.532722004002
"Piacenza",2048,295291,103.469650196749
"Piacenza",2049,295029,103.377845677304
"Piacenza",2050,294681,103.255906849949
"Ravenna",2024,387229,100
"Ravenna",2025,388052,100.212535734669
"Ravenna",2026,388750,100.392790829199
"Ravenna",2027,389333,100.543347734803
"Ravenna",2028,389816,100.668080128296
"Ravenna",2029,390214,100.770861686496
"Ravenna",2030,390532,100.852983635007
"Ravenna",2031,390827,100.929165945732
"Ravenna",2032,391089,100.996826167462
"Ravenna",2033,391317,101.055706055073
"Ravenna",2034,391515,101.106838589052
"Ravenna",2035,391680,101.149449034034
"Ravenna",2036,391785,101.17656477175
"Ravenna",2037,391878,101.200581568013
"Ravenna",2038,391975,101.22563134476
"Ravenna",2039,392061,101.247840425175
"Ravenna",2040,392125,101.264368112925
"Ravenna",2041,392157,101.272631956801
"Ravenna",2042,392144,101.269274770226
"Ravenna",2043,392076,101.251714101991
"Ravenna",2044,391946,101.218142236248
"Ravenna",2045,391743,101.165718476664
"Ravenna",2046,391455,101.091343881786
"Ravenna",2047,391068,100.991403019918
"Ravenna",2048,390575,100.864088175214
"Ravenna",2049,389970,100.707849876946
"Ravenna",2050,389247,100.521138654388
"Reggio nell'Emilia",2024,528877,100
