"territorio","anno","indicatore","valore"
"Reggio nell'Emilia",2029,"80 anni e più",7.91960031923622
"Rimini",2029,"65 anni e più",26.519505487325
"Rimini",2029,"80 anni e più",8.7843665689916
"Bologna",2030,"65 anni e più",26.51759123428
"Bologna",2030,"80 anni e più",9.06094205726788
"Ferrara",2030,"65 anni e più",30.6805443408253
"Ferrara",2030,"80 anni e più",10.1950032091382
"Forlì-Cesena",2030,"65 anni e più",27.3740992713659
"Forlì-Cesena",2030,"80 anni e più",9.17837446157562
"Modena",2030,"65 anni e più",25.984224670862
"Modena",2030,"80 anni e più",8.56618676902511
"Parma",2030,"65 anni e più",25.300862172195
"Parma",2030,"80 anni e più",8.41238004002942
"Piacenza",2030,"65 anni e più",26.9960433511096
"Piacenza",2030,"80 anni e più",8.91656631687597
"Ravenna",2030,"65 anni e più",28.1459649913451
"Ravenna",2030,"80 anni e più",9.46964653344668
"Reggio nell'Emilia",2030,"65 anni e più",25.1361347799636
"Reggio nell'Emilia",2030,"80 anni e più",8.06003739740905
"Rimini",2030,"65 anni e più",27.1373847684059
"Rimini",2030,"80 anni e più",8.95957361047879
"Bologna",2031,"65 anni e più",26.939931835504
"Bologna",2031,"80 anni e più",9.08840772147469
"Ferrara",2031,"65 anni e più",31.0500470912979
"Ferrara",2031,"80 anni e più",10.2978894805741
"Forlì-Cesena",2031,"65 anni e più",27.8328830809826
"Forlì-Cesena",2031,"80 anni e più",9.2592825281146
"Modena",2031,"65 anni e più",26.4517583782692
"Modena",2031,"80 anni e più",8.66614468198129
"Parma",2031,"65 anni e più",25.7617462961937
"Parma",2031,"80 anni e più",8.47923439756957
"Piacenza",2031,"65 anni e più",27.4108102354932
"Piacenza",2031,"80 anni e più",8.95004823852146
"Ravenna",2031,"65 anni e più",28.5890104266615
"Ravenna",2031,"80 anni e più",9.53828439838803
"Reggio nell'Emilia",2031,"65 anni e più",25.6637497950239
"Reggio nell'Emilia",2031,"80 anni e più",8.18152681087044
"Rimini",2031,"65 anni e più",27.6594882012905
"Rimini",2031,"80 anni e più",9.10099278291996
"Bologna",2032,"65 anni e più",27.3598456159678
"Bologna",2032,"80 anni e più",9.07943356819903
"Ferrara",2032,"65 anni e più",31.4402825932857
"Ferrara",2032,"80 anni e più",10.3249763467522
"Forlì-Cesena",2032,"65 anni e più",28.2881177654882
"Forlì-Cesena",2032,"80 anni e più",9.31640688739328
"Modena",2032,"65 anni e più",26.9251950626008
"Modena",2032,"80 anni e più",8.71153094984065
"Parma",2032,"65 anni e più",26.2380946314909
"Parma",2032,"80 anni e più",8.47038041978234
"Piacenza",2032,"65 anni e più",27.844275468349
"Piacenza",2032,"80 anni e più",8.90848219639987
"Ravenna",2032,"65 anni e più",29.0773758537016
"Ravenna",2032,"80 anni e più",9.55276393473642
"Reggio nell'Emilia",2032,"65 anni e più",26.2299200524051
"Reggio nell'Emilia",2032,"80 anni e più",8.25101609373372
"Rimini",2032,"65 anni e più",28.2098533283189
"Rimini",2032,"80 anni e più",9.20212919836839
"Bologna",2033,"65 anni e più",27.7841752014234
"Bologna",2033,"80 anni e più",9.07843707813178
"Ferrara",2033,"65 anni e più",31.7762727974811
"Ferrara",2033,"80 anni e più",10.3745618725123
"Forlì-Cesena",2033,"65 anni e più",28.718289547934
