cod_indicatore,indicatore_breve,indicatore,eta,sesso,anno,valore,poco_signif,unita_misura,fonte
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2017,43.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2018,45.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2019,44,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2020,42.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2021,34.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2022,41.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2023,41.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2024,42.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Maschi,2025,43.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2005,42.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2006,44.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2007,45.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2008,43.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2009,47,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2010,46,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2011,44.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2012,47.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2013,44,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Totale,2014,42.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
