"anno","territorio_lbl","cittadinanza_lbl","classe5_lbl","sesso_lbl","popolazione","quota"
2024,"Provincia di Parma","Totale","10-14","Maschi",10815,0.0237320418772341
2024,"Provincia di Parma","Stranieri","15-19","Maschi",1824,0.027046664393007
2024,"Provincia di Parma","Italiani","15-19","Maschi",9670,0.024905092795294
2024,"Provincia di Parma","Totale","15-19","Maschi",11494,0.0252220147329569
2024,"Provincia di Parma","Stranieri","20-24","Maschi",2472,0.0366553477957858
2024,"Provincia di Parma","Italiani","20-24","Maschi",9161,0.023594162884973
2024,"Provincia di Parma","Totale","20-24","Maschi",11633,0.0255270312674863
2024,"Provincia di Parma","Stranieri","25-29","Maschi",3447,0.0511128575453373
2024,"Provincia di Parma","Italiani","25-29","Maschi",9710,0.0250081128275393
2024,"Provincia di Parma","Totale","25-29","Maschi",13157,0.028871241329521
2024,"Provincia di Parma","Stranieri","30-34","Maschi",3682,0.0545974881003574
2024,"Provincia di Parma","Italiani","30-34","Maschi",10160,0.0261670881902986
2024,"Provincia di Parma","Totale","30-34","Maschi",13842,0.0303743803665904
2024,"Provincia di Parma","Stranieri","35-39","Maschi",3727,0.0552647577811059
2024,"Provincia di Parma","Italiani","35-39","Maschi",10220,0.0263216182386665
2024,"Provincia di Parma","Totale","35-39","Maschi",13947,0.0306047885401558
2024,"Provincia di Parma","Stranieri","40-44","Maschi",3473,0.0514983911386586
2024,"Provincia di Parma","Italiani","40-44","Maschi",11139,0.0286885034795016
2024,"Provincia di Parma","Totale","40-44","Maschi",14612,0.0320640403060698
2024,"Provincia di Parma","Stranieri","45-49","Maschi",2900,0.0430018238704607
2024,"Provincia di Parma","Italiani","45-49","Maschi",13881,0.0357505266899149
2024,"Provincia di Parma","Totale","45-49","Maschi",16781,0.0368236148628633
2024,"Provincia di Parma","Stranieri","5-9","Maschi",2220,0.0329186375835941
2024,"Provincia di Parma","Italiani","5-9","Maschi",7614,0.0196098631378872
2024,"Provincia di Parma","Totale","5-9","Maschi",9834,0.0215793712270662
2024,"Provincia di Parma","Stranieri","50-54","Maschi",2194,0.0325331039902727
2024,"Provincia di Parma","Italiani","50-54","Maschi",16230,0.0418003780835183
2024,"Provincia di Parma","Totale","50-54","Maschi",18424,0.040428954188272
2024,"Provincia di Parma","Stranieri","55-59","Maschi",1619,0.0240068802918193
2024,"Provincia di Parma","Italiani","55-59","Maschi",16826,0.0433353765639729
2024,"Provincia di Parma","Totale","55-59","Maschi",18445,0.0404750358229851
2024,"Provincia di Parma","Stranieri","60-64","Maschi",1069,0.0158513619715595
2024,"Provincia di Parma","Italiani","60-64","Maschi",15092,0.0388694581661404
2024,"Provincia di Parma","Totale","60-64","Maschi",16161,0.0354631094570486
2024,"Provincia di Parma","Stranieri","65-69","Maschi",635,0.00941591660611812
2024,"Provincia di Parma","Italiani","65-69","Maschi",12104,0.0311738617574187
2024,"Provincia di Parma","Totale","65-69","Maschi",12739,0.027953997362375
2024,"Provincia di Parma","Stranieri","70-74","Maschi",379,0.00561989353341538
2024,"Provincia di Parma","Italiani","70-74","Maschi",10161,0.0261696636911047
2024,"Provincia di Parma","Totale","70-74","Maschi",10540,0.0231285918988486
2024,"Provincia di Parma","Stranieri","75-79","Maschi",205,0.00303978410118774
2024,"Provincia di Parma","Italiani","75-79","Maschi",9835,0.0253300504283058
2024,"Provincia di Parma","Totale","75-79","Maschi",10040,0.0220314101199659
2024,"Provincia di Parma","Stranieri","80-84","Maschi",123,0.00182387046071264
2024,"Provincia di Parma","Italiani","80-84","Maschi",7110,0.0183118107315968
2024,"Provincia di Parma","Totale","80-84","Maschi",7233,0.015871831613318
2024,"Provincia di Parma","Stranieri","85-89","Maschi",56,0.000830380047153724
2024,"Provincia di Parma","Italiani","85-89","Maschi",4816,0.0124036118823305
2024,"Provincia di Parma","Totale","85-89","Maschi",4872,0.0106909392534336
2024,"Provincia di Parma","Stranieri","90-94","Maschi",18,0.000266907872299411
2024,"Provincia di Parma","Italiani","90-94","Maschi",1698,0.00437320036881172
2024,"Provincia di Parma","Totale","90-94","Maschi",1716,0.00376552786512564
2024,"Provincia di Parma","Italiani","95-99","Maschi",314,0.00080870725312537
2024,"Provincia di Parma","Totale","95-99","Maschi",314,0.000689030157138374
