indicatore,etichetta_indicatore,territorio,eta,anno,valore,cod_indicatore,cod_base,cod_eta
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),45-54,2025,17.54,I_IUAIFE,PC_IND_IUAI,Y45_54
scopo_studio,Per lo studio (istruzione formale),Italia,45-54,2025,17.54,I_IUAIFE,PC_IND_IUAI,Y45_54
scopo_privato,Per scopi privati,UE (27 paesi),45-54,2025,76.38,I_IUAIPR,PC_IND_IUAI,Y45_54
scopo_privato,Per scopi privati,Italia,45-54,2025,65.12,I_IUAIPR,PC_IND_IUAI,Y45_54
scopo_lavoro,Per lavoro,UE (27 paesi),45-54,2025,57.78,I_IUAIWP,PC_IND_IUAI,Y45_54
scopo_lavoro,Per lavoro,Italia,45-54,2025,54.31,I_IUAIWP,PC_IND_IUAI,Y45_54
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),55-64,2025,16.49,I_IUAI,PC_IND,Y55_64
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,55-64,2025,10.06,I_IUAI,PC_IND,Y55_64
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),55-64,2025,12.24,I_IUAIFE,PC_IND_IUAI,Y55_64
scopo_studio,Per lo studio (istruzione formale),Italia,55-64,2025,14.52,I_IUAIFE,PC_IND_IUAI,Y55_64
scopo_privato,Per scopi privati,UE (27 paesi),55-64,2025,77.13,I_IUAIPR,PC_IND_IUAI,Y55_64
scopo_privato,Per scopi privati,Italia,55-64,2025,64.49,I_IUAIPR,PC_IND_IUAI,Y55_64
scopo_lavoro,Per lavoro,UE (27 paesi),55-64,2025,53.05,I_IUAIWP,PC_IND_IUAI,Y55_64
scopo_lavoro,Per lavoro,Italia,55-64,2025,51.24,I_IUAIWP,PC_IND_IUAI,Y55_64
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),65-74,2025,6.5,I_IUAI,PC_IND,Y65_74
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,65-74,2025,4.55,I_IUAI,PC_IND,Y65_74
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),65-74,2025,10.32,I_IUAIFE,PC_IND_IUAI,Y65_74
scopo_studio,Per lo studio (istruzione formale),Italia,65-74,2025,14.45,I_IUAIFE,PC_IND_IUAI,Y65_74
scopo_privato,Per scopi privati,UE (27 paesi),65-74,2025,87.46,I_IUAIPR,PC_IND_IUAI,Y65_74
scopo_privato,Per scopi privati,Italia,65-74,2025,73.71,I_IUAIPR,PC_IND_IUAI,Y65_74
scopo_lavoro,Per lavoro,UE (27 paesi),65-74,2025,23.12,I_IUAIWP,PC_IND_IUAI,Y65_74
scopo_lavoro,Per lavoro,Italia,65-74,2025,26.64,I_IUAIWP,PC_IND_IUAI,Y65_74
