indicatore,domanda,tavola,anno,sesso,variabile,categoria,risposta,percentuale
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Sud,Qualche volta al mese (meno di 4),5.4028037873882075
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Sud,Qualche volta l'anno,1.57516145404904
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Sud,Mai,1.847234796112056
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Sud,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Tutti i giorni,30.29847541335624
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Qualche volta a settimana,48.85707952648459
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Una volta a settimana,9.237914481841418
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Qualche volta al mese (meno di 4),7.7025913124190435
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Qualche volta l'anno,1.6007813419964396
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Mai,2.3035042634397054
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Isole,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Tutti i giorni,26.163456909547456
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Qualche volta a settimana,50.68387678088595
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Una volta a settimana,11.663385715544928
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Qualche volta al mese (meno di 4),8.033018949658684
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Qualche volta l'anno,1.78056577007426
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Mai,1.6756582055043137
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,totale,Totale,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Tutti i giorni,17.6417246091395
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Qualche volta a settimana,51.7345062497488
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Una volta a settimana,13.896396849001247
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Qualche volta al mese (meno di 4),12.649587034283188
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Qualche volta l'anno,1.874171054218078
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Mai,2.2036142036091797
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,11-13 anni,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Tutti i giorni,15.837130592360568
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Qualche volta a settimana,51.504863076670794
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Una volta a settimana,18.37851662101273
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Qualche volta al mese (meno di 4),10.284775186675956
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Qualche volta l'anno,2.0107663171629397
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Mai,1.9839482061170155
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,eta,14-19 anni,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Tutti i giorni,15.639160813656988
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Qualche volta a settimana,51.058252515705114
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Una volta a settimana,16.21813009637331
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Qualche volta al mese (meno di 4),12.737476180200773
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Qualche volta l'anno,2.6697929994863734
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Mai,1.6773393550191016
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-ovest,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Tutti i giorni,14.484119997431527
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Qualche volta a settimana,50.74558232890134
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Una volta a settimana,17.008059621730116
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Qualche volta al mese (meno di 4),13.2785944649393
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Qualche volta l'anno,2.473812961263689
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Mai,2.009830625734035
