strumento,frequenza,eta,anno,valore,popolazione_rif,stima_nostra
pc,tutti i giorni,18-19,2023,46.4,3 anni e più,FALSE
pc,tutti i giorni,18-19,2024,40.7,3 anni e più,FALSE
pc,tutti i giorni,18-19,2025,39.8,3 anni e più,FALSE
pc,tutti i giorni,20-24,2001,27.4,3 anni e più,FALSE
pc,tutti i giorni,20-24,2002,29,3 anni e più,FALSE
pc,tutti i giorni,20-24,2003,32.7,3 anni e più,FALSE
pc,tutti i giorni,20-24,2005,34.5,3 anni e più,FALSE
pc,tutti i giorni,20-24,2006,41.2,3 anni e più,FALSE
pc,tutti i giorni,20-24,2007,42.6,3 anni e più,FALSE
pc,tutti i giorni,20-24,2008,41.1,3 anni e più,FALSE
pc,tutti i giorni,20-24,2009,51.5,3 anni e più,FALSE
pc,tutti i giorni,20-24,2010,57.9,3 anni e più,FALSE
pc,tutti i giorni,20-24,2011,60.6,3 anni e più,FALSE
pc,tutti i giorni,20-24,2012,61,3 anni e più,FALSE
pc,tutti i giorni,20-24,2013,63.1,3 anni e più,FALSE
pc,tutti i giorni,20-24,2014,58.8,3 anni e più,FALSE
pc,tutti i giorni,20-24,2015,57.7,3 anni e più,FALSE
pc,tutti i giorni,20-24,2016,53.1,3 anni e più,FALSE
pc,tutti i giorni,20-24,2017,46.2,3 anni e più,FALSE
pc,tutti i giorni,20-24,2018,47.2,3 anni e più,FALSE
pc,tutti i giorni,20-24,2019,45.9,3 anni e più,FALSE
pc,tutti i giorni,20-24,2020,47.4,3 anni e più,FALSE
pc,tutti i giorni,20-24,2021,55.5,3 anni e più,FALSE
pc,tutti i giorni,20-24,2022,51.2,3 anni e più,FALSE
pc,tutti i giorni,20-24,2023,49.9,3 anni e più,FALSE
pc,tutti i giorni,20-24,2024,49.2,3 anni e più,FALSE
pc,tutti i giorni,20-24,2025,47.5,3 anni e più,FALSE
pc,tutti i giorni,Totale,2001,16.8,3 anni e più,FALSE
pc,tutti i giorni,Totale,2002,19,3 anni e più,FALSE
pc,tutti i giorni,Totale,2003,19.6,3 anni e più,FALSE
pc,tutti i giorni,Totale,2005,20.6,3 anni e più,FALSE
pc,tutti i giorni,Totale,2006,22.9,3 anni e più,FALSE
pc,tutti i giorni,Totale,2007,23.8,3 anni e più,FALSE
pc,tutti i giorni,Totale,2008,24.4,3 anni e più,FALSE
pc,tutti i giorni,Totale,2009,27,3 anni e più,FALSE
pc,tutti i giorni,Totale,2010,30.7,3 anni e più,FALSE
pc,tutti i giorni,Totale,2011,31.3,3 anni e più,FALSE
pc,tutti i giorni,Totale,2012,31.9,3 anni e più,FALSE
pc,tutti i giorni,Totale,2013,34.2,3 anni e più,FALSE
pc,tutti i giorni,Totale,2014,33.6,3 anni e più,FALSE
pc,tutti i giorni,Totale,2015,34.4,3 anni e più,FALSE
pc,tutti i giorni,Totale,2016,33.4,3 anni e più,FALSE
pc,tutti i giorni,Totale,2017,30.9,3 anni e più,FALSE
pc,tutti i giorni,Totale,2018,31.3,3 anni e più,FALSE
pc,tutti i giorni,Totale,2019,31,3 anni e più,FALSE
pc,tutti i giorni,Totale,2020,32.7,3 anni e più,FALSE
pc,tutti i giorni,Totale,2021,37,3 anni e più,FALSE
pc,tutti i giorni,Totale,2022,32.9,3 anni e più,FALSE
pc,tutti i giorni,Totale,2023,33.6,3 anni e più,FALSE
pc,tutti i giorni,Totale,2024,32.3,3 anni e più,FALSE
pc,tutti i giorni,Totale,2025,32.1,3 anni e più,FALSE
pc,usano,06-10,2001,49.7,3 anni e più,FALSE
pc,usano,06-10,2002,50.3,3 anni e più,FALSE
pc,usano,06-10,2003,51.2,3 anni e più,FALSE
pc,usano,06-10,2005,53.2,3 anni e più,FALSE
pc,usano,06-10,2006,54,3 anni e più,FALSE
pc,usano,06-10,2007,52.4,3 anni e più,FALSE
pc,usano,06-10,2008,57.4,3 anni e più,FALSE
pc,usano,06-10,2009,56.9,3 anni e più,FALSE
pc,usano,06-10,2010,59.1,3 anni e più,FALSE
pc,usano,06-10,2011,57,3 anni e più,FALSE
pc,usano,06-10,2012,53.2,3 anni e più,FALSE
pc,usano,06-10,2013,56.4,3 anni e più,FALSE
pc,usano,06-10,2014,53.1,3 anni e più,FALSE
pc,usano,06-10,2015,52.6,3 anni e più,FALSE
pc,usano,06-10,2016,52.9,3 anni e più,FALSE
pc,usano,06-10,2017,50.6,3 anni e più,FALSE
pc,usano,06-10,2018,47.2,3 anni e più,FALSE
pc,usano,06-10,2019,44.9,3 anni e più,FALSE
pc,usano,06-10,2020,62.4,3 anni e più,FALSE
pc,usano,06-10,2021,72.3,3 anni e più,FALSE
pc,usano,06-10,2022,57.1,3 anni e più,FALSE
pc,usano,06-10,2023,48.4,3 anni e più,FALSE
pc,usano,06-10,2024,44.5,3 anni e più,FALSE
pc,usano,06-10,2025,41.4,3 anni e più,FALSE
pc,usano,11-14,2001,73.1,3 anni e più,FALSE
pc,usano,11-14,2002,74.2,3 anni e più,FALSE
pc,usano,11-14,2003,75.5,3 anni e più,FALSE
pc,usano,11-14,2005,73.8,3 anni e più,FALSE
pc,usano,11-14,2006,74.3,3 anni e più,FALSE
pc,usano,11-14,2007,74.3,3 anni e più,FALSE
pc,usano,11-14,2008,77.6,3 anni e più,FALSE
pc,usano,11-14,2009,81.4,3 anni e più,FALSE
pc,usano,11-14,2010,83.6,3 anni e più,FALSE
pc,usano,11-14,2011,81.9,3 anni e più,FALSE
pc,usano,11-14,2012,80.8,3 anni e più,FALSE
pc,usano,11-14,2013,82.8,3 anni e più,FALSE
pc,usano,11-14,2014,80.4,3 anni e più,FALSE
pc,usano,11-14,2015,81,3 anni e più,FALSE
pc,usano,11-14,2016,78.4,3 anni e più,FALSE
pc,usano,11-14,2017,76.2,3 anni e più,FALSE
pc,usano,11-14,2018,74.3,3 anni e più,FALSE
pc,usano,11-14,2019,76.4,3 anni e più,FALSE
pc,usano,11-14,2020,83,3 anni e più,FALSE
pc,usano,11-14,2021,83.9,3 anni e più,FALSE
pc,usano,11-14,2022,81.5,3 anni e più,FALSE
pc,usano,11-14,2023,77.3,3 anni e più,FALSE
pc,usano,11-14,2024,76.2,3 anni e più,FALSE
pc,usano,11-14,2025,75.2,3 anni e più,FALSE
pc,usano,15-17,2001,76.9,3 anni e più,FALSE
pc,usano,15-17,2002,77.4,3 anni e più,FALSE
pc,usano,15-17,2003,77,3 anni e più,FALSE
pc,usano,15-17,2005,80.2,3 anni e più,FALSE
pc,usano,15-17,2006,79.7,3 anni e più,FALSE
pc,usano,15-17,2007,77.8,3 anni e più,FALSE
pc,usano,15-17,2008,81.9,3 anni e più,FALSE
pc,usano,15-17,2009,86,3 anni e più,FALSE
pc,usano,15-17,2010,89.3,3 anni e più,FALSE
pc,usano,15-17,2011,88.9,3 anni e più,FALSE
pc,usano,15-17,2012,88,3 anni e più,FALSE
pc,usano,15-17,2013,89.5,3 anni e più,FALSE
pc,usano,15-17,2014,86.3,3 anni e più,FALSE
pc,usano,15-17,2015,88,3 anni e più,FALSE
pc,usano,15-17,2016,83.2,3 anni e più,FALSE
pc,usano,15-17,2017,81.9,3 anni e più,FALSE
pc,usano,15-17,2018,83.2,3 anni e più,FALSE
pc,usano,15-17,2019,81,3 anni e più,FALSE
pc,usano,15-17,2020,83.4,3 anni e più,FALSE
pc,usano,15-17,2021,83.1,3 anni e più,FALSE
pc,usano,15-17,2022,83,3 anni e più,FALSE
pc,usano,15-17,2023,79.8,3 anni e più,FALSE
pc,usano,15-17,2024,81.5,3 anni e più,FALSE
pc,usano,15-17,2025,79.3,3 anni e più,FALSE
pc,usano,15-19,2001,75.17999999999999,3 anni e più,TRUE
pc,usano,15-19,2002,75.8,3 anni e più,TRUE
pc,usano,15-19,2003,75.28,3 anni e più,TRUE
pc,usano,15-19,2005,78.48,3 anni e più,TRUE
pc,usano,15-19,2006,78.78,3 anni e più,TRUE
pc,usano,15-19,2007,77.64,3 anni e più,TRUE
pc,usano,15-19,2008,81.14000000000001,3 anni e più,TRUE
pc,usano,15-19,2009,86,3 anni e più,TRUE
pc,usano,15-19,2010,89.5,3 anni e più,TRUE
pc,usano,15-19,2011,88.70000000000002,3 anni e più,TRUE
pc,usano,15-19,2012,87.52000000000001,3 anni e più,TRUE
pc,usano,15-19,2013,89.02000000000001,3 anni e più,TRUE
pc,usano,15-19,2014,87.41999999999999,3 anni e più,TRUE
pc,usano,15-19,2015,87.28,3 anni e più,TRUE
pc,usano,15-19,2016,82.88000000000001,3 anni e più,TRUE
pc,usano,15-19,2017,81.5,3 anni e più,TRUE
pc,usano,15-19,2018,81.64000000000001,3 anni e più,TRUE
pc,usano,15-19,2019,81.32000000000001,3 anni e più,TRUE
pc,usano,15-19,2020,82.8,3 anni e più,TRUE
pc,usano,15-19,2021,83.22,3 anni e più,TRUE
pc,usano,15-19,2022,82.12,3 anni e più,TRUE
pc,usano,15-19,2023,79.72,3 anni e più,TRUE
pc,usano,15-19,2024,81.17999999999999,3 anni e più,TRUE
pc,usano,15-19,2025,79.17999999999999,3 anni e più,TRUE
pc,usano,18-19,2001,72.6,3 anni e più,FALSE
pc,usano,18-19,2002,73.4,3 anni e più,FALSE
pc,usano,18-19,2003,72.7,3 anni e più,FALSE
pc,usano,18-19,2005,75.9,3 anni e più,FALSE
pc,usano,18-19,2006,77.4,3 anni e più,FALSE
pc,usano,18-19,2007,77.4,3 anni e più,FALSE
pc,usano,18-19,2008,80,3 anni e più,FALSE
pc,usano,18-19,2009,86,3 anni e più,FALSE
pc,usano,18-19,2010,89.8,3 anni e più,FALSE
pc,usano,18-19,2011,88.4,3 anni e più,FALSE
pc,usano,18-19,2012,86.8,3 anni e più,FALSE
pc,usano,18-19,2013,88.3,3 anni e più,FALSE
pc,usano,18-19,2014,89.1,3 anni e più,FALSE
pc,usano,18-19,2015,86.2,3 anni e più,FALSE
pc,usano,18-19,2016,82.4,3 anni e più,FALSE
pc,usano,18-19,2017,80.9,3 anni e più,FALSE
pc,usano,18-19,2018,79.3,3 anni e più,FALSE
pc,usano,18-19,2019,81.8,3 anni e più,FALSE
pc,usano,18-19,2020,81.9,3 anni e più,FALSE
pc,usano,18-19,2021,83.4,3 anni e più,FALSE
pc,usano,18-19,2022,80.8,3 anni e più,FALSE
pc,usano,18-19,2023,79.6,3 anni e più,FALSE
pc,usano,18-19,2024,80.7,3 anni e più,FALSE
pc,usano,18-19,2025,79,3 anni e più,FALSE
pc,usano,20-24,2001,63.6,3 anni e più,FALSE
pc,usano,20-24,2002,63.7,3 anni e più,FALSE
pc,usano,20-24,2003,67.2,3 anni e più,FALSE
pc,usano,20-24,2005,69.1,3 anni e più,FALSE
pc,usano,20-24,2006,72.4,3 anni e più,FALSE
pc,usano,20-24,2007,71.9,3 anni e più,FALSE
pc,usano,20-24,2008,73.8,3 anni e più,FALSE
pc,usano,20-24,2009,79,3 anni e più,FALSE
pc,usano,20-24,2010,82.8,3 anni e più,FALSE
pc,usano,20-24,2011,85.2,3 anni e più,FALSE
pc,usano,20-24,2012,84.4,3 anni e più,FALSE
pc,usano,20-24,2013,85,3 anni e più,FALSE
pc,usano,20-24,2014,83.8,3 anni e più,FALSE
pc,usano,20-24,2015,85.7,3 anni e più,FALSE
pc,usano,20-24,2016,83.2,3 anni e più,FALSE
pc,usano,20-24,2017,78.8,3 anni e più,FALSE
pc,usano,20-24,2018,80.3,3 anni e più,FALSE
pc,usano,20-24,2019,78.4,3 anni e più,FALSE
pc,usano,20-24,2020,78.9,3 anni e più,FALSE
pc,usano,20-24,2021,77.4,3 anni e più,FALSE
pc,usano,20-24,2022,79.1,3 anni e più,FALSE
pc,usano,20-24,2023,77.6,3 anni e più,FALSE
pc,usano,20-24,2024,78.1,3 anni e più,FALSE
pc,usano,20-24,2025,76.7,3 anni e più,FALSE
pc,usano,Totale,2001,36.9,3 anni e più,FALSE
pc,usano,Totale,2002,37.1,3 anni e più,FALSE
pc,usano,Totale,2003,38.7,3 anni e più,FALSE
pc,usano,Totale,2005,39.9,3 anni e più,FALSE
pc,usano,Totale,2006,41.4,3 anni e più,FALSE
pc,usano,Totale,2007,41.7,3 anni e più,FALSE
pc,usano,Totale,2008,44.9,3 anni e più,FALSE
pc,usano,Totale,2009,47.5,3 anni e più,FALSE
pc,usano,Totale,2010,51,3 anni e più,FALSE
pc,usano,Totale,2011,52.2,3 anni e più,FALSE
pc,usano,Totale,2012,52.4,3 anni e più,FALSE
pc,usano,Totale,2013,54.4,3 anni e più,FALSE
pc,usano,Totale,2014,54.8,3 anni e più,FALSE
pc,usano,Totale,2015,56.5,3 anni e più,FALSE
pc,usano,Totale,2016,56.1,3 anni e più,FALSE
pc,usano,Totale,2017,54,3 anni e più,FALSE
pc,usano,Totale,2018,54.6,3 anni e più,FALSE
pc,usano,Totale,2019,54.9,3 anni e più,FALSE
pc,usano,Totale,2020,55.4,3 anni e più,FALSE
pc,usano,Totale,2021,57.7,3 anni e più,FALSE
pc,usano,Totale,2022,56.2,3 anni e più,FALSE
pc,usano,Totale,2023,56.2,3 anni e più,FALSE
pc,usano,Totale,2024,56.1,3 anni e più,FALSE
pc,usano,Totale,2025,56.2,3 anni e più,FALSE
